yq,firmID,atq,ni,niNeg,dv,dvpd,acc,mc,bm,p_lastday,p_lm,r_lm,sd,leverage,invest,dinvt,dar,capx,gm,sga
200001,AAPL,8.934059722,183,0,0,0,-190,9.715701643,-1.357738677,125.75,114.625,-0.028137781,0.052537825,0.437911943,2425,-1012,-796,-102.5952113,783,-915
200002,AAPL,8.854664928,233,0,0,0,-201,10.00306034,-1.692891317,51.25,84,-0.238197145,0.043677174,0.419865848,-579,393,446,11.00270747,-341,368
200003,AAPL,8.843903651,200,0,0,0,-468,9.741719033,-1.441190426,25.75,60.9375,0.129455642,0.125220641,0.419215234,-75,115,147,11.11846351,-118,116
200004,AAPL,8.82511897,170,0,0,0,-656,9.064584015,-0.762814252,14.875,16.5,-0.046400048,0.045267306,0.407467294,-129,-17,-59,32.83066567,128,-37
200101,AAPL,8.697178688,-207,1,0,0,-194,8.544115828,-0.32559825,22.06999969,18.25,-0.023149986,0.043990806,0.380387571,-817,851,351,-39.13217807,-381,879
200102,AAPL,8.720950029,43,0,0,0,100,8.942220358,-0.71591437,23.25,19.95000076,-0.281131409,0.033699539,0.390212072,144,-435,-228,23.96767387,20,-430
200103,AAPL,8.711278615,61,0,0,0,151,9.005591656,-0.747687463,15.51000023,18.54999924,0.032444689,0.03598509,0.364519848,-59,-35,-83,-8.629785238,-9,-45
200104,AAPL,8.703008637,66,0,0,0,-119,8.602048954,-0.328202021,22.43000031,21.29999924,0.055785145,0.030571295,0.348945358,-50,17,-107,-108.5029211,-32,17
200201,AAPL,8.71964412,38,0,0,0,-4,8.95142094,-0.665907631,,21.70000076,-0.059909982,0.025155745,0.352172493,101,87,107,72.62818523,-58,93
200202,AAPL,8.742574238,40,0,0,0,-4,9.033745421,-0.736201891,17.71999931,23.29999924,0.015465857,0.04039447,0.359195402,142,-117,26,0.507490398,132,-141
200203,AAPL,8.747193184,32,0,0,0,25,8.757612352,-0.447197358,14.72000027,14.75,-0.004395759,0.019789364,0.353885269,29,74,48,-4.948208518,-47,63
200204,AAPL,8.747987402,-45,1,0,0,-134,8.557356825,-0.239834829,14.06999969,15.5,-0.1911323,0.019628853,0.349793585,5,-3,-75,-9.613810948,19,4
200301,AAPL,8.743372131,-6,1,0,0,-116,8.549172907,-0.226535811,14.56999969,15.01000023,0.039774876,0.016138531,0.343435955,-29,-30,-3,28.30277147,6,-5
200302,AAPL,8.757940877,14,0,0,0,-194,8.550397051,-0.222187559,18.72999954,17.95000076,0.101599214,0.02288622,0.349316145,92,-6,27,2.265828751,-7,-4
200303,AAPL,8.770439087,19,0,0,0,-197,8.852934673,-0.510571172,21.29999924,22.61000061,0.014635632,0.023528963,0.348237851,80,-73,-17,-23.28565674,65,-70
200304,AAPL,8.826881344,41,0,0,0,-248,8.935717119,-0.587416064,21.28000069,20.90999985,-0.117052505,0.020072339,0.380337491,374,-152,106,2.896297327,137,-164
200401,AAPL,8.849513965,63,0,0,0,-156,8.972136807,-0.598813986,27.92000008,23.92000008,0.064468662,0.028566733,0.378855257,156,-258,-454,-6.466559996,207,-254
200402,AAPL,8.815073089,46,0,0,0,-234,9.218506855,-0.808898875,32.5,28.05999947,0.076666491,0.022883736,0.333333333,-236,71,68,14.66989236,-94,103
200403,AAPL,8.885025658,61,0,0,0,-430,9.436212013,-0.957343936,38.68000031,34.49000168,0.105159962,0.016302049,0.333794822,488,-96,-11,-13.08187898,71,-94
200404,AAPL,8.99342737,106,0,0,0,-828,9.626973221,-1.094694393,64.80000305,67.05000305,0.193728626,0.022822341,0.369440994,827,-307,-138,17.40361414,262,-314
200501,AAPL,9.144414222,295,0,0,0,-480,10.1678865,-1.503998929,42.79999924,44.86000061,-0.421294071,0.022649771,0.381542405,1312,-1085,-993,-30.51770849,777,-1048
200502,AAPL,9.221379219,286,0,0,0,-1025,10.4429041,-1.681040723,36.36999893,39.75930023,0.02156097,0.022516215,0.368410642,749,255,292,12.56161672,-218,224
200503,AAPL,9.257987025,319,0,0,0,-1464,10.32475975,-1.496998387,52.34000015,46.88999939,0.108236496,0.022988224,0.349637681,377,-248,-418,-34.4416715,195,-229
200504,AAPL,9.354527292,428,0,0,0,-2107,10.7091901,-1.791075437,71.88999939,67.81999969,0.116993187,0.019753151,0.353649035,1063,-186,53,-21.6645945,162,-158
200601,AAPL,9.559658319,565,0,0,0,282,11.01520371,-1.981600518,62.75,68.48999786,-0.095169909,0.023389127,0.409068472,2630,-1992,-970,23.26890567,1541,-1875
200602,AAPL,9.540435173,410,0,0,0,252,10.88296097,-1.813953779,58.97000122,59.77000046,-0.075245114,0.026591031,0.375889584,-270,1350,961,-127.7428687,-1121,1344
200603,AAPL,9.623376746,472,0,0,0,-693,10.79652241,-1.655532112,76.98000336,67.84999847,-0.043547201,0.019232752,0.382691544,1203,-2,99,-197.9844591,-24,-20
200604,AAPL,9.752955318,542,0,0,0,-1678,11.09495467,-1.886215581,84.83999634,91.66000366,0.103673861,0.019856911,0.419703575,2091,-410,284,-51.10240603,371,-422
200701,AAPL,9.876167742,1004,0,0,0,-809,11.1979553,-1.871789363,92.91000366,84.61000061,0.003951919,0.015098678,0.423051231,2256,-2245,-2010,312.1078772,1462,-2184
200702,AAPL,9.836866865,770,0,0,0,-1777,11.29400581,-1.879827041,122.0400009,121.1910019,0.182786196,0.018541532,0.344717011,-750,1756,405,-34.67547377,-1475,1816
200703,AAPL,9.982622156,818,0,0,0,-2956,11.57187839,-2.06856994,153.4700012,138.4799957,0.014890337,0.02281169,0.380791796,2936,-103,1088,-238.5344778,-12,-55
200704,AAPL,10.14041566,904,0,0,0,-4566,11.80467175,-2.220563361,199.8300018,182.2200012,0.029789016,0.018867379,0.426677713,3700,-712,321,-102.3734784,700,-731
200801,AAPL,10.31025182,1581,0,0,0,-1206,12.06703373,-2.337661495,143.0099945,125.0199966,-0.03140304,0.02753922,0.440593895,4692,-3278,-2998,304.8754312,2136,-3215
200802,AAPL,10.32453069,1045,0,0,0,-2935,11.74788176,-1.946814603,170.0899963,188.75,0.010565609,0.022727637,0.407535033,432,2001,1294,-85.76432085,-1248,2049
200803,AAPL,10.36435583,1072,0,0,0,-4229,11.90705643,-2.02264977,105.2600021,169.5299988,0.052584558,0.05453236,0.381185152,1238,229,-327,-228.7020035,-175,97
200804,AAPL,10.58587708,1136,0,0,0,-8460,11.52255033,-1.56884506,86.29000092,92.66999817,0.020670985,0.032516528,0.468563631,7863,-467,1028,-326.5757382,275,-342
200901,AAPL,10.6639896,2255,0,0,0,-1683,11.2384481,-1.19916297,104.4899979,89.30999756,0.088652234,0.030246885,0.464580363,3215,-4098,-5276,509.0381458,2183,-3876
200902,AAPL,10.67445189,1620,0,0,0,-3159,11.44847003,-1.349785826,141.9700012,135.8099976,-0.045184318,0.015305392,0.437726947,450,2712,2419,-33.80196259,-1929,2694
200903,AAPL,10.78186871,1828,0,0,0,-5221,11.75649526,-1.594960441,185.3800049,168.2100067,-0.038540452,0.012904139,0.462235147,4903,-582,494,-183.8738269,293,-603
200904,AAPL,10.76850604,2532,0,0,0,-7627,12.02442511,-1.662247692,211.6399994,199.9100037,0.012164606,0.016568422,0.33390876,-639,-2398,-1596,-382.2995096,1330,-2403
201001,AAPL,10.89536802,3378,0,0,0,-2403,12.1599377,-1.675128782,235.8450012,204.6199951,0.01979657,0.011775133,0.336720691,6425,-3355,-3652,560.2454101,2164,-3211
201002,AAPL,10.95180605,3074,0,0,0,-5037,12.27263003,-1.692429607,256.1700134,256.8800049,0.066033708,0.019396281,0.310373837,3131,2246,1932,-203.8474204,-1405,2144
201003,AAPL,11.0779028,3253,0,0,0,-9659,12.34482594,-1.673292474,287.3699951,243.1000061,0.002192935,0.012782455,0.333935883,7668,-1897,-431,-520.3194772,1633,-1945
201004,AAPL,11.22768042,4308,0,0,0,-14287,12.46807718,-1.693484566,323.6600037,311.1499939,-0.010860901,0.005605161,0.364337683,10458,-4534,-1118,-668.1356173,3211,-4480
201101,AAPL,11.37069347,6004,0,0,0,-3769,12.6017872,-1.69278998,348.6300049,353.2099915,-0.019982845,0.016130701,0.369786263,11559,-6564,-5448,566.4693575,3585,-5992
201102,AAPL,11.46062113,5987,0,0,0,-10005,12.68310099,-1.656682594,334.0400085,347.8299866,0.010019984,0.014557506,0.352219085,8162,2119,2295,-534.1010133,-2072,1947
201103,AAPL,11.57831987,7308,0,0,0,-19792,12.64797853,-1.501158051,390.5700073,384.8299866,0.072289017,0.014676898,0.350465539,11854,-3945,-3528,-694.9263587,2153,-3705
201104,AAPL,11.66453864,6623,0,0,0,-30906,12.77804578,-1.531497623,405,382.2000122,-0.047148919,0.011302731,0.341631506,9613,188,547,-1553.254343,179,428
201201,AAPL,11.83993161,13064,0,0,0,-4490,12.84144947,-1.4332847,500,500,0.167368573,0.015183983,0.350639237,22310,-17603,-13296,2677.257746,8562,-17370
201202,AAPL,11.92459793,11622,0,0,0,-19909,13.23670665,-1.699108086,500,500,0.078568287,0.013396201,0.320908477,12253,7013,4432,-1363.49049,-5027,6964
201203,AAPL,12.00086724,8824,0,0,0,-32896,13.21286811,-1.588884392,500,500,0.033860812,0.014840313,0.314004027,11962,4183,4692,-1963.811917,-688,4404
201204,AAPL,12.07860284,8223,0,2488,1,-42633,13.34798442,-1.667766439,500,500,-0.026845936,0.023999905,0.328596419,13168,-1274,3451,-3370.868211,1390,-907
201301,AAPL,12.18631882,13078,0,2493,1,-10348,13.12175516,-1.367092091,,441.3999939,-0.023832244,0.017279405,0.350567092,20024,-17882,-15704,5693.886402,11280,-18153
201302,AAPL,12.17943602,9547,0,4984,1,-26383,12.93878185,-1.122128735,396.5299988,449.7349854,-0.071985487,0.00967418,0.304262541,-1345,10699,2711,-1921.688611,-6302,10850
201303,AAPL,12.20535239,6900,0,7795,1,-36858,12.79448274,-1.071669195,482.75,487.2160034,0.09392706,0.022465814,0.382785606,5113,8732,8397,-1780.593907,-4957,8312
201304,AAPL,12.24047407,7512,0,10564,1,-46154,12.96851218,-1.244119063,500,500,0.018526078,0.013192308,0.403144928,7144,-2082,5039,-1856.886738,1213,-2131
201401,AAPL,12.32467312,13072,0,2769,1,-9598,13.12372368,-1.350867683,500,500,-0.04462256,0.006851697,0.424097627,18184,-19764,-15565,5878.418619,11786,-19580
201402,AAPL,12.23557805,10223,0,5430,1,-25985,13.04447321,-1.347735632,91.98000336,500,0.070745959,0.008987033,0.416575642,-19195,11655,2570,-1298.545226,-7792,11919
201403,AAPL,12.31277226,7748,0,8297,1,-38715,13.22955481,-1.526504972,100.1100006,102.5,0.005512866,0.017170429,0.456498292,16531,7979,9235,-2278.726795,-5061,8313
201404,AAPL,12.35379844,8467,0,11126,1,-51246,13.2895979,-1.667396591,112.5199966,118.9300003,0.075403961,0.015883232,0.518860071,9319,-4174,5687,-3747.497995,3394,-4300
201501,AAPL,12.47569512,18024,0,2801,1,-15698,13.37408681,-1.65148406,126.3700027,128.4600067,0.00790554,0.013794221,0.529091923,30055,-32304,-29719,6075.792617,18138,-31825
201502,AAPL,12.47301871,13569,0,5544,1,-39234,13.48283147,-1.715217277,124.5299988,130.2799988,-0.018003881,0.007129727,0.506091258,-700,16702,4777,-2288.357073,-10408,16472
201503,AAPL,12.51778003,10677,0,8597,1,-57114,13.48087634,-1.739405942,109.0599976,112.7600021,-0.017885363,0.020888915,0.539899177,11957,8051,10148,-1953.405486,-5035,8625
201504,AAPL,12.57928656,11124,0,11561,1,-70142,13.32992448,-1.640066955,107.3199997,118.3000031,-0.037644591,0.015252623,0.589109712,17328,-1589,8540,-3526.430664,994,-1569
201601,AAPL,12.5888967,18361,0,2969,1,-9102,13.27699286,-1.515123552,109.5599976,96.69000244,-0.016109658,0.012160904,0.562652582,2805,-23721,-29545,7356.87187,14661,-23496
201602,AAPL,12.62897484,10516,0,5871,1,-28548,13.2998329,-1.521033948,94.40000153,99.86000061,0.058846461,0.011522084,0.57266024,11993,24597,19970,-2260.955881,-14336,24449
201603,AAPL,12.63003888,7796,0,9058,1,-41902,13.15306051,-1.404738865,112.1800003,106.0999985,-0.027500187,0.016623663,0.585928757,325,7749,7417,-2732.965377,-4433,8266
201604,AAPL,12.68133119,9014,0,12150,1,-56810,13.3100929,-1.54836393,115.8199997,110.5199966,-0.150360439,0.007463679,0.601322408,16084,-4193,5763,-3877.569928,2765,-4443